,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,tura,18.69,12.92,308.5,9,94,4.59,NE,1592680029
356,tura,5.88,-10.05,302.15,70,20,3.1,LR,1592679631
357,tura,52.7,115.17,281.6,77,0,2.19,RU,1592679782
358,tura,19.93,-105.25,307.29,41,0,4.07,MX,1592679782
359,tura,-24.09,-46.62,303.15,34,0,4.1,BR,1592679782
360,tura,62.54,113.96,285.15,87,0,2.0,RU,1592679783
361,tura,-0.41,-65.02,300.28,89,95,1.88,BR,1592680031
362,tura,22.98,-80.59,302.85,73,31,4.7,CU,1592679783
363,tura,60.72,-135.05,288.15,72,75,5.7,CA,1592679510
364,tura,45.52,-122.68,289.26,87,90,4.1,US,1592679951
365,tura,54.23,39.02,293.71,74,51,0.89,RU,1592679783
366,tura,14.9,-24.5,297.64,76,1,4.19,CV,1592680031
367,tura,60.14,-45.24,278.35,73,100,4.76,GL,1592679543
368,tura,48.23,-101.3,295.93,35,40,5.7,US,1592679565
369,tura,61.12,29.87,288.71,64,0,1.91,RU,1592679784
370,tura,15.32,-88.0,307.15,52,40,5.1,HN,1592679784
371,tura,57.88,34.99,288.03,63,95,2.96,RU,1592679784
372,tura,45.39,19.24,292.04,72,20,7.7,RS,1592679784
373,tura,47.36,0.74,294.15,56,0,2.1,FR,1592679784
374,tura,-40.81,-63.0,283.98,73,100,6.57,AR,1592680032
375,tura,17.02,54.09,301.15,88,20,1.0,OM,1592679762
376,tura,18.03,73.02,300.66,83,100,2.92,IN,1592679785
377,tura,-13.28,-50.16,304.15,35,83,1.75,BR,1592679785
378,tura,-36.83,175.7,285.93,95,100,2.24,NZ,1592679785
379,tura,27.8,114.93,296.96,97,100,1.34,CN,1592679785
380,tura,-1.77,-55.87,303.31,66,66,2.6,BR,1592679785
381,tura,-12.04,-77.03,291.15,77,90,3.1,PE,1592679786
382,tura,23.3,72.33,304.15,70,92,5.1,IN,1592679786
383,tura,15.85,-97.07,303.46,70,62,5.43,MX,1592680033
384,tura,-20.59,27.31,285.15,50,0,2.6,BW,1592679786
385,tura,62.59,40.61,280.02,77,3,2.15,RU,1592679780
386,tura,57.51,72.4,286.03,67,100,4.7,RU,1592679786
387,tura,25.05,61.74,302.61,85,0,5.22,PK,1592679786
388,tura,13.22,-59.52,303.15,74,20,9.3,BB,1592679663
389,tura,2.04,45.34,299.0,80,14,8.81,SO,1592679787
390,tura,35.73,140.83,293.15,94,75,3.1,JP,1592680035
391,tura,-2.89,-40.12,301.66,74,4,6.1,BR,1592679787
392,tura,45.33,122.78,292.48,95,56,3.8,CN,1592679787
393,tura,48.47,-2.51,290.93,69,83,3.58,FR,1592679787
394,tura,44.29,-105.5,297.15,31,1,4.6,US,1592679680
395,tura,60.62,16.77,290.93,62,0,1.79,SE,1592680035
396,tura,68.53,146.42,299.1,31,0,1.73,RU,1592680035
397,tura,28.37,129.48,299.15,94,90,2.6,JP,1592680036
398,tura,44.08,-80.2,303.15,40,40,3.1,CA,1592679788
399,tura,66.0,111.5,288.75,64,100,1.19,RU,1592679593
400,tura,-23.86,35.38,291.71,82,0,2.25,MZ,1592679678
401,tura,66.08,76.63,282.27,71,100,2.43,RU,1592679789
402,tura,-8.14,159.59,299.88,81,65,2.78,SB,1592679668
403,tura,40.22,28.4,299.15,41,85,2.6,TR,1592679549
404,tura,25.55,-100.97,302.15,37,5,4.21,MX,1592679789
405,tura,-43.3,-65.1,289.1,37,15,12.92,AR,1592679593
406,tura,38.24,16.26,295.93,75,0,1.79,IT,1592679789
407,tura,-2.08,101.38,292.03,95,100,0.88,ID,1592679789
408,tura,37.7,-77.61,303.15,61,75,1.5,US,1592679789
